keyword,canonical_keyword,volume,kd,cpc,topical_silo,primary_entity,entity_type,intent,intent_detail,cluster_label,recommended_page_type,target_live_url,target_local_url,resolved_local_url,page_title,page_id,page_layer,edit_mode,action_taken,coverage_status,coverage_signal,page_word_count,exact_present,canonical_present,entity_present,intent_signal_present,status_code,edit_url,support_key,managed_key,evidence_snippet
iced tea mcdonald's,mcdonalds drink,30,2,0,Beverages,Beverages & Drinks,menu_guide,overview,overview_general,Beverages & Drinks - overview general,guide,https://mcdomenuusa.com/beverage-menu/,http://localhost/wordpress/beverage-menu/,http://localhost/wordpress/beverage-menu/,McDonald's Drinks Menu Prices USA,201,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Guide-level semantic coverage,The keyword is mapped to the correct guide-level page and is covered by topical relevance rather than a literal long-tail phrase,12737,No,No,No,No,200,http://localhost/wordpress/wp-admin/post.php?post=201&action=edit,beverage-menu,,"McDonald’s Drinks Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpress/#person"",""name"":""McDonald"
mcdonald's sweet tea gallon price,how much is a large sweet tea at mcdonald's,30,0,0.1,Beverages,Sweet Tea,product_family,commercial,price_value,Sweet Tea - price value,family_section,https://mcdomenuusa.com/beverage-menu/,http://localhost/wordpress/beverage-menu/,http://localhost/wordpress/menu/beverages-drinks/sweet-tea-medium/,Sweet Tea Medium Price USA,612,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9524,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=612&action=edit,,beverages::sweet-tea-medium,"Sweet Tea Medium Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organizati"
medium coke,mcdonalds sprite,30,0,0,Beverages,Soft Drink Small,product_variant,overview,overview_general,Soft Drink Small - overview general,item,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/,http://localhost/wordpress/menu/beverages-drinks/soft-drink-small/,http://localhost/wordpress/menu/beverages-drinks/soft-drink-small/,Soft Drink Small Price USA,589,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9539,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=589&action=edit,,beverages::soft-drink-small,"Soft Drink Small Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how much is a mcdonald's,mcdonald's menu with prices 2025,30,62,0.59,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
how much is two cheeseburgers at mcdonald's,mcdonald's menu with prices 2025,30,55,0.51,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
how much are kids meals at mcdonald's,mcdonald's menu with prices 2025,30,30,0,Brand Core,McDonald's Menu,menu_hub,commercial,price_value,McDonald's Menu - price value,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
mcdonald's kids meal calories,mcdonald's kids meal calories,30,31,0,Happy Meal,Happy Meal,product_family,nutrition,nutrition_macros,Happy Meal - nutrition macros,family_section,https://mcdomenuusa.com/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,McDonald's Happy Meal Prices USA,198,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11905,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=198&action=edit,happy-meal-menu,,"McDonald’s Happy Meal Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how much are shamrock shakes at mcdonald's,how much is a shamrock shake,30,0,1,Limited Time,Limited Time Menu,support_page,commercial,price_value,Limited Time Menu - price value,support,https://mcdomenuusa.com/limited-time-menu/,http://localhost/wordpress/limited-time-menu/,http://localhost/wordpress/limited-time-menu/,Limited-Time Menu,123,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9938,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=123&action=edit,limited-time-menu,,"Limited-Time Menu | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpress/#person"",""name"":""McDonald's Menu Prices U"
big mac nutrition label,how many calories in a big mac and fries,30,42,1.59,Burgers,Big Mac,product_variant,nutrition,nutrition_macros,Big Mac - nutrition macros,item,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,http://localhost/wordpress/menu/burgers-menu/big-mac/,Big Mac Price USA,405,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9477,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=405&action=edit,,burgers::big-mac,"Big Mac Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's mocha coffee price,how much is a large coffee at mcdonald's,30,28,0,McCafe Coffees,McCafe Coffees,menu_guide,commercial,price_value,McCafe Coffees - price value,guide,https://mcdomenuusa.com/mccafe-menu/,http://localhost/wordpress/mccafe-menu/,http://localhost/wordpress/menu/mccafe-coffees/mccafe-mocha-latte-large/,McCafe Mocha Latte Large Price USA,533,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9513,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=533&action=edit,,mccafe::mccafe-mocha-latte-large,"menu category, and ordering context for this item. Use this page when comparing McCafe Coffees choices, checking value against combo meals, McValue picks, fries, drinks, sauces, and app deals, or confirming the ite"
how much is large drink at mcdonald's,how much is a large drink at mcdonald's,30,1,0,Beverages,Beverages & Drinks,menu_guide,commercial,price_value,Beverages & Drinks - price value,guide,https://mcdomenuusa.com/beverage-menu/,http://localhost/wordpress/beverage-menu/,http://localhost/wordpress/beverage-menu/,McDonald's Drinks Menu Prices USA,201,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Guide-level semantic coverage,The keyword is mapped to the correct guide-level page and is covered by topical relevance rather than a literal long-tail phrase,12737,No,No,No,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=201&action=edit,beverage-menu,,"McDonald’s Drinks Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpress/#person"",""name"":""McDonald"
nuggets mcdonalds price,mcdonald's 10 piece nuggets meal price,30,38,0,McNuggets & Strips,6 pc Chicken McNuggets,product_variant,commercial,price_value,6 pc Chicken McNuggets - price value,item,https://mcdomenuusa.com/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/6-pc-chicken-mcnuggets/,6 pc Chicken McNuggets Price USA,435,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9548,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=435&action=edit,,nuggets::6-pc-chicken-mcnuggets,"6 pc Chicken McNuggets Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how much is medium fries at mcdonald's,how much is a medium fry at mcdonald's,30,54,0.66,Fries & Sides,World Famous Fries Medium,product_variant,commercial,price_value,World Famous Fries Medium - price value,item,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-medium/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-medium/,http://localhost/wordpress/menu/fries-sides/world-famous-fries-medium/,World Famous Fries Medium Price USA,446,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9542,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=446&action=edit,,sides::world-famous-fries-medium,"World Famous Fries Medium Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's 4 piece nugget price,how much is a 20 piece chicken nugget at mcdonald's,30,36,0.73,McNuggets & Strips,Chicken McNuggets,product_family,commercial,price_value,Chicken McNuggets - price value,family_section,https://mcdomenuusa.com/nuggets-and-strips/,http://localhost/wordpress/nuggets-and-strips/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
20 chicken mcnuggets price,mcdonald's chicken nuggets price,30,12,0.63,Value & Deals,Chicken McNuggets,product_family,commercial,price_value,Chicken McNuggets - price value,family_section,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/mcdonalds-deals-mcvalue-guide/,http://localhost/wordpress/menu/extra-value-meals/10-pc-chicken-mcnuggets-meal-med/,10 pc Chicken McNuggets Meal Price USA,1292,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9597,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1292&action=edit,,meals::10-pc-chicken-mcnuggets-meal-med,"10 pc Chicken McNuggets Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization"
cost of an egg mcmuffin,egg mcmuffin price,30,1,0,Breakfast,Egg McMuffin,product_variant,commercial,price_value,Egg McMuffin - price value,item,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,http://localhost/wordpress/menu/breakfast-menu/egg-mcmuffin/,Egg McMuffin Price USA,373,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9474,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=373&action=edit,,breakfast::egg-mcmuffin,"Egg McMuffin Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""h"
mcdonald's menu mcchicken,mcdonald's menu,30,42,0.53,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12739,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
mcdonalds menu coffee,mcdonald's menu,30,31,1.42,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12739,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
mcdonalds sausage mcmuffin with egg,mcdonald's sausage mcmuffin with egg,30,10,0.32,Breakfast,Sausage McMuffin with Egg,product_variant,overview,overview_general,Sausage McMuffin with Egg - overview general,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcmuffin-with-egg/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcmuffin-with-egg/,http://localhost/wordpress/menu/breakfast-menu/sausage-mcmuffin-with-egg/,Sausage McMuffin with Egg Price USA,375,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9526,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=375&action=edit,,breakfast::sausage-mcmuffin-with-egg,"Sausage McMuffin with Egg Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mccafe coffee price,how much is a large coffee at mcdonald's,30,26,0.31,McCafe Coffees,McCafe Coffees,menu_guide,commercial,price_value,McCafe Coffees - price value,guide,https://mcdomenuusa.com/mccafe-menu/,http://localhost/wordpress/mccafe-menu/,http://localhost/wordpress/menu/mccafe-coffees/,McCafe Coffee Prices USA,486,Menu category template,Page editor + theme-rendered semantic layer,Added via category semantic template layer,Exact keyword present,Exact keyword string found on the mapped rendered page,10850,Yes,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=486&action=edit,,mccafe,"McCafe Coffee Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":"""
6 piece happy meal calories,6 piece happy meal calories,30,6,0,Happy Meal,6 pc McNuggets Happy Meal,product_variant,nutrition,nutrition_macros,6 pc McNuggets Happy Meal - nutrition macros,item,https://mcdomenuusa.com/menu/happy-meal/6-pc-mcnuggets-happy-meal/,http://localhost/wordpress/menu/happy-meal/6-pc-mcnuggets-happy-meal/,http://localhost/wordpress/menu/happy-meal/6-pc-mcnuggets-happy-meal-w-apple-slices-or-sm-fries-drink-toy/,6 pc McNuggets Happy Meal Price USA,1303,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9533,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=1303&action=edit,,happymeal::6-pc-mcnuggets-happy-meal-w-apple-slices-or-sm-fries-drink-toy,"6 pc McNuggets Happy Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mcdonald's breakfast platter calories,mcdonald's breakfast burrito calories,30,13,0.71,Breakfast,Breakfast Menu,menu_guide,nutrition,nutrition_macros,Breakfast Menu - nutrition macros,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12822,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
sodium in mcdonald's sausage biscuit,mcdonald's sausage biscuit calories,30,0,0,Breakfast,Sausage Biscuit,product_variant,nutrition,nutrition_macros,Sausage Biscuit - nutrition macros,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-biscuit/,http://localhost/wordpress/menu/breakfast-menu/sausage-biscuit/,http://localhost/wordpress/menu/breakfast-menu/sausage-biscuit/,Sausage Biscuit Price USA,370,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9475,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=370&action=edit,,breakfast::sausage-biscuit,"Sausage Biscuit Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
mc chiken,mcdonald's food,30,4,0,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
how much are 40 nuggets at mcdonald's,40 piece chicken mcnuggets price,30,0,0.73,McNuggets & Strips,40 pc Chicken McNuggets,product_variant,commercial,price_value,40 pc Chicken McNuggets - price value,item,https://mcdomenuusa.com/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/40-pc-chicken-mcnuggets/,40 pc Chicken McNuggets Price USA,438,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9550,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=438&action=edit,,nuggets::40-pc-chicken-mcnuggets,"40 pc Chicken McNuggets Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how mych is a happy meal,what comes in a happy meal,30,30,0,Happy Meal,Happy Meal,menu_guide,overview,overview_menu,Happy Meal - overview menu,guide,https://mcdomenuusa.com/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,McDonald's Happy Meal Prices USA,198,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11905,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=198&action=edit,happy-meal-menu,,"McDonald’s Happy Meal Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
how much does a 20 piece nugget cost at mcdonald's,how much is a 20 piece nugget at mcdonald's,30,12,0.76,McNuggets & Strips,McNuggets & Strips,menu_guide,commercial,price_value,McNuggets & Strips - price value,guide,https://mcdomenuusa.com/nuggets-and-strips/,http://localhost/wordpress/nuggets-and-strips/,http://localhost/wordpress/nuggets-and-strips/,McDonald's McNuggets & Strips Menu Prices USA,195,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12366,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=195&action=edit,nuggets-and-strips,,"McDonald’s McNuggets & Strips Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organizatio"
4b mcdonalds,mcdonald's food,30,43,0,Brand Core,McDonald's Menu,menu_hub,overview,overview_general,McDonald's Menu - overview general,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12739,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"McDonald’s Full Menu USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@id"":""http://localhost/wordpr"
chicken nugget happy meal calories,happy meal calories,30,0,0.59,Happy Meal,Happy Meal,menu_guide,nutrition,nutrition_macros,Happy Meal - nutrition macros,guide,https://mcdomenuusa.com/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,http://localhost/wordpress/happy-meal-menu/,McDonald's Happy Meal Prices USA,198,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,11905,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=198&action=edit,happy-meal-menu,,"McDonald’s Happy Meal Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
mcdonald's breakfast menu cost,mcdonald's breakfast menu with prices,30,12,0,Breakfast,Breakfast Menu,menu_guide,commercial,price_value,Breakfast Menu - price value,guide,https://mcdomenuusa.com/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,http://localhost/wordpress/breakfast-menu/,McDonald's Breakfast Menu Prices USA,192,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,12822,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=192&action=edit,breakfast-menu,,"McDonald’s Breakfast Menu Prices USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],"""
bundle mcdonalds,mcdonald's bundle box,30,20,0.7,Value & Deals,Shareables & Bundles,support_page,commercial,price_value,Shareables & Bundles - price value,support,https://mcdomenuusa.com/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,http://localhost/wordpress/shareables-bundles/,Shareables & Bundles,204,Support / guide page,Normal WordPress page editor,Seeded or retained on admin-editable guide/support page,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,9911,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=204&action=edit,shareables-bundles,,"eables & Bundles This Shareables & Bundles guide is built for readers searching McDonald’s bundle box, McDonald’s family meal, McDonald’s family box, or dinner box style queries. These searches are less about one item and"
mcdonalds menu proces,mcdonald's menu,30,72,0.54,Brand Core,McDonald's Menu,menu_hub,overview,overview_menu,McDonald's Menu - overview menu,hub,https://mcdomenuusa.com/menu/,http://localhost/wordpress/menu/,http://localhost/wordpress/menu/,McDonald's Full Menu USA,283,Menu hub page,Page editor + theme-rendered semantic layer,Retained or optimized on the main menu hub,Canonical keyword present,Variant keyword is covered through its canonical keyword on the mapped page,12739,No,Yes,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=283&action=edit,,menu,"ce list ↓ M McDonald's Menu Prices USA McDonald’s Full Menu USA Full Menu Guide McDonald’s Menu Prices USA 2026 – Full Menu with Calories & Current Deals This is the complete McDonald’s USA menu guide for burgers, b"
calories 20 piece mcnugget,20 piece chicken mcnuggets calories,30,0,0.6,McNuggets & Strips,20 pc Chicken McNuggets,product_variant,nutrition,nutrition_macros,20 pc Chicken McNuggets - nutrition macros,item,https://mcdomenuusa.com/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/,http://localhost/wordpress/menu/mcnuggets-strips/20-pc-chicken-mcnuggets/,20 pc Chicken McNuggets Price USA,437,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9548,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=437&action=edit,,nuggets::20-pc-chicken-mcnuggets,"20 pc Chicken McNuggets Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how much is a cheeseburger meal at mcdonald's,2 cheeseburger meal price,30,69,0.34,Value & Deals,Cheeseburger Meal,product_variant,commercial,price_value,Cheeseburger Meal - price value,item,https://mcdomenuusa.com/menu/extra-value-meals/cheeseburger-meal/,http://localhost/wordpress/menu/extra-value-meals/cheeseburger-meal/,http://localhost/wordpress/menu/extra-value-meals/cheeseburger-meal/,Cheeseburger Meal Price USA,322,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9512,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=322&action=edit,,meals::cheeseburger-meal,"Cheeseburger Meal Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
how much is 3 mcchickens,how much is a mcchicken,30,45,0.52,Chicken & Fish,McChicken,product_variant,commercial,price_value,McChicken - price value,item,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,http://localhost/wordpress/menu/chicken-fish/mcchicken/,McChicken Price USA,428,Menu item template,Page editor + theme-rendered semantic layer,Added via item semantic template layer,Entity + intent semantic coverage,Primary entity is present and the page also carries matching intent signals,9458,No,No,Yes,Yes,200,http://localhost/wordpress/wp-admin/post.php?post=428&action=edit,,chickenfish::mcchicken,"McChicken Price USA | McDonald's Menu Prices USA {""@context"":""https://schema.org"",""@graph"":[{""@type"":[""Person"",""Organization""],""@"
